Zebra,Mouse,Human
acvr1l,Acan,ATR
aldh1a2,Adam10,B2M
alf,Adam22,B4GALT7
and1,Adamts20,BMPR1B
apa,Aldh1a2,CANT1
apc,Alx1,CD96
arl6,Alx3,CHD7
arl6ip1,Alx4,CHRNG
atp6v0ca,am,COL11A1
b3gat3,Ank,COL2A1
bbs1,Apaf1,CREBBP
bbs7,Apc,ESCO2
bmp1a,Apoe,EXT1
bmp7a,App,EXT2
bot,Ar,FANCA
brk,Arx,FBN1
cacna1c,Atp1b2,FGF10
camk2b2,Bbs2,FGFR1
capzb,Bbs4,FGFR2
ccdc40,Bmp2,FGFR3
chaf1b,Bmp4,FLNA
chd,Bmp5,FLNB
chsy1,Bmp7,GDF5
col1a1a,Bmper,GLI3
cpsf1,Bmpr1a,GPC6
cpsf4,Bmpr1b,HOXA11
crbn,Bsn,HOXD13
creb3l2,Btd,IHH
csm,C3,JAG1
csnk1a1,Cacna1s,LEPRE1
ctgfa,Cacna2d2,LMBR1
cul4a,Cacnb1,LMX1B
cyp26b1,Cadfar,MIPOL1
dad,Ccd,MMP13
dan,Cd86,NIPBL
disc1,Cdc42,NOG
disp1,Cdkn1a,NOTCH2
dll4,Cdkn1c,NPR2
dul,Cdo1,PCNT
eda,Cdon,POR
edar,Celf4,RAB3GAP2
edn1,Chkb,RAI1
esco2,Chrna4,RECQL4
evx1,Chrne,RPS19
ext2,Chrng,SALL4
extl3,Chsy1,SCARF2
fgf10a,Chuk,SEMA3E
fgf24,cl,SHOX
fibinb,Clcn1,TBX15
foxd3,Cln5,TBX3
foxl1,Cntf,TBX5
fras1,Col1a1,TRIP11
frem1a,Col1a2,TWIST1
frem2a,Col2a1,WNT7A
ful,Crabp1,ZBTB16
gle1,Crabp2,
gsk3b,Crim1,
ham,Csgalnact1,
hand2,Ctgf,
hdac1,Ctnnb1,
hen,Cvwd,
hhip,Cxcr4,
hmcn1,Cyp26b1,
hoxb5b,Cyp51,
hyd,Dad1,
ihha,Dbf,
irx1a,Dbh,
itga3b,dblr,
jaw,Dclk2,
kiaa0586,Dcx,
kim,Del(2Hoxd10-Hoxd12)19Ddu,
kno,Del(2Hoxd10-Hoxd13)7Ddu,
koi,Del(2Hoxd11-Hoxd13)16Ddu,
krm,Del(2Hoxd1-Hoxd10)26Ddu,
lama5,Del(2Hoxd8-Hoxd13)11Ddu,
lef1,Del(2Hoxd9-Hoxd12)20Ddu,
let,Del(5D5Mit73-D5Mit351)1J,
lmo4a,Del(6Hoxa)1Ddu,
lof,Dicer1,
med10,Disp1,
met,Dkk1,
mif,Dlx5,
mko,Dlx6,
mtc,Dnahc11,
parp3,Dnase2a,
pbx4,Drd2,
pdlim7,Dst,
pek,Dtna,
perp,Dtnb,
pes,Dym,
pi4kaa,Dync1h1,
pknox1.1,Eae25,
plcb3,Eae30,
pos,Eae31,
ppo,Eae32,
prdm1a,Eae33,
ptch1,Eae34,
ptch2,Eae35,
rab11fip4a,Eae36,
rarab,Eae37,
rdy,Eae38,
rerea,Efnb1,
rix,Egr2,
rnd,Elavl1,
rnf2,Elovl4,
sec13,En1,
sec23a,Epha4,
sec24d,Esr1,
shha,Esr2,
slc35b2,Ethl,
smo,Etv1,
sox9a,Etv4,
sox9b,Evc,
sparc,Evx2,
sph,Ext1,
stn,Fam123b,
sto,Fbn1,
stp_m365,Fbn2,
sufu,Fgf10,
szl,Fgf14,
tbx16,Fgf18,
tbx5a,Fgf23,
tcf7,Fgf4,
tfap2a,Fgf8,
tgfb3,Fgf9,
tp53,Fgfr1,
trim33,Fgfr2,
tut,Fgfr3,
ugdh,Fkbp8,
unm_dhi862,fl,
unm_m105,Flnb,
unm_m110,Flt4,
unm_m142,Fmn1,
unm_m180,Fmr1,
unm_m203,Fn1,
unm_m360,Foxc1,
unm_m361,Fpdty,
unm_m399,Fras1,
unm_m483,Fts,
unm_m565,Fuz,
unm_m572,Gab1,
unm_m658,Gad2,
unm_m708,Gal3st1,
unm_m719,Gas1,
unm_m738,Gdf11,
unm_m756,Gdf5,
unm_t30292,Gdf6,
unm_t30508,Gja1,
unm_t30601,Glb1,
